tweets,class
I just adore being put on hold for 30 minutes. #199,1
Perfect! It’s raining right after I washed my car. #105,1
Perfect! It’s raining right after I washed my car. #173,1
Had a productive study session. #132,0
Work went really well today. #171,0
Excited for the weekend trip! #248,0
Loving the weather today. #272,0
"Sure, I'd love to work overtime for free. #216",1
"Wow, because waiting in traffic for hours is my favorite pastime. #301",1
Had a productive study session. #194,0
Had a great workout this morning! #6,0
Nothing like spilling coffee all over your shirt to start the day right. #161,1
Watched a great movie tonight. #41,0
"Wow, because waiting in traffic for hours is my favorite pastime. #329",1
Fantastic! My phone just died during the most important call. #85,1
Work went really well today. #337,0
Perfect! It’s raining right after I washed my car. #300,1
"Wow, because waiting in traffic for hours is my favorite pastime. #99",1
Excited for the weekend trip! #345,0
Fantastic! My phone just died during the most important call. #346,1
"Wow, because waiting in traffic for hours is my favorite pastime. #12",1
Excited for the weekend trip! #280,0
Watched a great movie tonight. #77,0
"Sure, I'd love to work overtime for free. #143",1
Yay! Another meeting that could have been an email. #239,1
Work went really well today. #78,0
"Wow, because waiting in traffic for hours is my favorite pastime. #202",1
Grateful for my supportive friends. #135,0
Had a great workout this morning! #344,0
Grateful for my supportive friends. #35,0
I just adore being put on hold for 30 minutes. #9,1
Had a productive study session. #62,0
Enjoyed dinner with the family. #10,0
Work went really well today. #154,0
Grateful for my supportive friends. #18,0
I just adore being put on hold for 30 minutes. #24,1
Grateful for my supportive friends. #330,0
Peaceful walk in the park today. #148,0
"Wow, because waiting in traffic for hours is my favorite pastime. #27",1
"Oh great, another Monday. Just what I needed. #140",1
Absolutely thrilled that my vacation got canceled. #327,1
Love it when my computer crashes before I save my work. #293,1
Excited for the weekend trip! #118,0
Grateful for my supportive friends. #317,0
Work went really well today. #319,0
Love it when my computer crashes before I save my work. #40,1
Nothing like spilling coffee all over your shirt to start the day right. #257,1
Had a productive study session. #106,0
Work went really well today. #81,0
Fantastic! My phone just died during the most important call. #178,1
Watched a great movie tonight. #12,0
Watched a great movie tonight. #178,0
"Wow, because waiting in traffic for hours is my favorite pastime. #228",1
Absolutely thrilled that my vacation got canceled. #188,1
"Just finished a good book, highly recommend it! #58",0
"Oh great, another Monday. Just what I needed. #8",1
Excited for the weekend trip! #153,0
Excited for the weekend trip! #208,0
Perfect! It’s raining right after I washed my car. #343,1
Love it when my computer crashes before I save my work. #103,1
"Sure, I'd love to work overtime for free. #134",1
Love it when my computer crashes before I save my work. #192,1
Peaceful walk in the park today. #123,0
Loving the weather today. #47,0
Had a great workout this morning! #313,0
Excited for the weekend trip! #160,0
Absolutely thrilled that my vacation got canceled. #226,1
Excited for the weekend trip! #104,0
I just adore being put on hold for 30 minutes. #1,1
Fantastic! My phone just died during the most important call. #108,1
Perfect! It’s raining right after I washed my car. #225,1
"Oh great, another Monday. Just what I needed. #347",1
"Wow, because waiting in traffic for hours is my favorite pastime. #342",1
"Wow, because waiting in traffic for hours is my favorite pastime. #171",1
Had a great workout this morning! #117,0
Work went really well today. #234,0
I just adore being put on hold for 30 minutes. #277,1
Nothing like spilling coffee all over your shirt to start the day right. #22,1
Had a productive study session. #15,0
Yay! Another meeting that could have been an email. #172,1
Absolutely thrilled that my vacation got canceled. #165,1
"Wow, because waiting in traffic for hours is my favorite pastime. #238",1
Love it when my computer crashes before I save my work. #205,1
Had a productive study session. #131,0
Love it when my computer crashes before I save my work. #218,1
Perfect! It’s raining right after I washed my car. #61,1
I just adore being put on hold for 30 minutes. #247,1
Excited for the weekend trip! #20,0
I just adore being put on hold for 30 minutes. #235,1
Had a productive study session. #63,0
Excited for the weekend trip! #186,0
"Just finished a good book, highly recommend it! #224",0
Grateful for my supportive friends. #1,0
Work went really well today. #33,0
Nothing like spilling coffee all over your shirt to start the day right. #133,1
Watched a great movie tonight. #119,0
Grateful for my supportive friends. #69,0
"Sure, I'd love to work overtime for free. #70",1
"Oh great, another Monday. Just what I needed. #72",1
"Sure, I'd love to work overtime for free. #322",1
Excited for the weekend trip! #219,0
Had a great workout this morning! #295,0
Excited for the weekend trip! #205,0
Enjoyed dinner with the family. #100,0
Had a great workout this morning! #3,0
Fantastic! My phone just died during the most important call. #167,1
Loving the weather today. #221,0
Peaceful walk in the park today. #281,0
Nothing like spilling coffee all over your shirt to start the day right. #335,1
"Just finished a good book, highly recommend it! #98",0
Fantastic! My phone just died during the most important call. #258,1
I just adore being put on hold for 30 minutes. #83,1
"Oh great, another Monday. Just what I needed. #26",1
Loving the weather today. #145,0
Work went really well today. #282,0
Grateful for my supportive friends. #21,0
"Wow, because waiting in traffic for hours is my favorite pastime. #36",1
"Just finished a good book, highly recommend it! #73",0
Love it when my computer crashes before I save my work. #162,1
Yay! Another meeting that could have been an email. #191,1
Love it when my computer crashes before I save my work. #345,1
"Sure, I'd love to work overtime for free. #200",1
Loving the weather today. #297,0
"Oh great, another Monday. Just what I needed. #307",1
Fantastic! My phone just died during the most important call. #288,1
Had a great workout this morning! #318,0
"Just finished a good book, highly recommend it! #156",0
Perfect! It’s raining right after I washed my car. #93,1
Fantastic! My phone just died during the most important call. #196,1
Had a great workout this morning! #70,0
Fantastic! My phone just died during the most important call. #245,1
Peaceful walk in the park today. #264,0
Enjoyed dinner with the family. #324,0
Had a great workout this morning! #342,0
Watched a great movie tonight. #283,0
"Sure, I'd love to work overtime for free. #53",1
"Just finished a good book, highly recommend it! #26",0
"Just finished a good book, highly recommend it! #32",0
"Wow, because waiting in traffic for hours is my favorite pastime. #10",1
"Just finished a good book, highly recommend it! #269",0
"Oh great, another Monday. Just what I needed. #144",1
Grateful for my supportive friends. #238,0
"Wow, because waiting in traffic for hours is my favorite pastime. #137",1
Absolutely thrilled that my vacation got canceled. #13,1
"Sure, I'd love to work overtime for free. #334",1
Nothing like spilling coffee all over your shirt to start the day right. #183,1
Nothing like spilling coffee all over your shirt to start the day right. #2,1
"Wow, because waiting in traffic for hours is my favorite pastime. #45",1
Had a productive study session. #240,0
Had a productive study session. #97,0
"Sure, I'd love to work overtime for free. #170",1
Absolutely thrilled that my vacation got canceled. #38,1
"Sure, I'd love to work overtime for free. #332",1
I just adore being put on hold for 30 minutes. #91,1
"Wow, because waiting in traffic for hours is my favorite pastime. #287",1
Peaceful walk in the park today. #61,0
Grateful for my supportive friends. #338,0
Love it when my computer crashes before I save my work. #292,1
Watched a great movie tonight. #13,0
I just adore being put on hold for 30 minutes. #49,1
Had a great workout this morning! #296,0
I just adore being put on hold for 30 minutes. #314,1
Work went really well today. #52,0
Absolutely thrilled that my vacation got canceled. #283,1
Nothing like spilling coffee all over your shirt to start the day right. #274,1
"Just finished a good book, highly recommend it! #261",0
"Oh great, another Monday. Just what I needed. #101",1
"Just finished a good book, highly recommend it! #218",0
Love it when my computer crashes before I save my work. #89,1
Loving the weather today. #108,0
Loving the weather today. #162,0
Nothing like spilling coffee all over your shirt to start the day right. #96,1
Watched a great movie tonight. #166,0
I just adore being put on hold for 30 minutes. #206,1
"Wow, because waiting in traffic for hours is my favorite pastime. #186",1
Had a productive study session. #84,0
"Just finished a good book, highly recommend it! #207",0
"Sure, I'd love to work overtime for free. #109",1
Had a great workout this morning! #126,0
Nothing like spilling coffee all over your shirt to start the day right. #190,1
Fantastic! My phone just died during the most important call. #207,1
Fantastic! My phone just died during the most important call. #319,1
I just adore being put on hold for 30 minutes. #16,1
Had a great workout this morning! #271,0
"Sure, I'd love to work overtime for free. #264",1
Yay! Another meeting that could have been an email. #278,1
"Wow, because waiting in traffic for hours is my favorite pastime. #308",1
Yay! Another meeting that could have been an email. #295,1
Had a productive study session. #277,0
Love it when my computer crashes before I save my work. #4,1
"Sure, I'd love to work overtime for free. #296",1
Work went really well today. #144,0
I just adore being put on hold for 30 minutes. #86,1
Loving the weather today. #17,0
Peaceful walk in the park today. #96,0
Watched a great movie tonight. #202,0
Loving the weather today. #72,0
"Wow, because waiting in traffic for hours is my favorite pastime. #275",1
Watched a great movie tonight. #45,0
Excited for the weekend trip! #327,0
"Just finished a good book, highly recommend it! #152",0
Nothing like spilling coffee all over your shirt to start the day right. #19,1
"Wow, because waiting in traffic for hours is my favorite pastime. #229",1
Grateful for my supportive friends. #165,0
Had a great workout this morning! #43,0
Yay! Another meeting that could have been an email. #52,1
Absolutely thrilled that my vacation got canceled. #42,1
Fantastic! My phone just died during the most important call. #348,1
Absolutely thrilled that my vacation got canceled. #77,1
Grateful for my supportive friends. #247,0
Loving the weather today. #111,0
Nothing like spilling coffee all over your shirt to start the day right. #333,1
Loving the weather today. #278,0
Loving the weather today. #173,0
"Sure, I'd love to work overtime for free. #90",1
Had a productive study session. #275,0
Had a great workout this morning! #130,0
Enjoyed dinner with the family. #151,0
Enjoyed dinner with the family. #180,0
"Sure, I'd love to work overtime for free. #244",1
Yay! Another meeting that could have been an email. #119,1
"Just finished a good book, highly recommend it! #24",0
Had a great workout this morning! #37,0
Fantastic! My phone just died during the most important call. #236,1
Excited for the weekend trip! #246,0
Loving the weather today. #206,0
"Oh great, another Monday. Just what I needed. #220",1
Had a great workout this morning! #80,0
Absolutely thrilled that my vacation got canceled. #261,1
Watched a great movie tonight. #95,0
"Just finished a good book, highly recommend it! #93",0
Enjoyed dinner with the family. #193,0
"Sure, I'd love to work overtime for free. #338",1
"Just finished a good book, highly recommend it! #252",0
Yay! Another meeting that could have been an email. #201,1
Love it when my computer crashes before I save my work. #154,1
"Oh great, another Monday. Just what I needed. #23",1
Absolutely thrilled that my vacation got canceled. #153,1
Yay! Another meeting that could have been an email. #289,1
Fantastic! My phone just died during the most important call. #14,1
Had a productive study session. #257,0
Had a great workout this morning! #213,0
Had a great workout this morning! #38,0
Yay! Another meeting that could have been an email. #51,1
Had a great workout this morning! #273,0
"Sure, I'd love to work overtime for free. #234",1
Love it when my computer crashes before I save my work. #209,1
Had a productive study session. #50,0
Enjoyed dinner with the family. #138,0
Absolutely thrilled that my vacation got canceled. #113,1
Fantastic! My phone just died during the most important call. #124,1
Perfect! It’s raining right after I washed my car. #306,1
"Sure, I'd love to work overtime for free. #50",1
Perfect! It’s raining right after I washed my car. #323,1
Loving the weather today. #139,0
Loving the weather today. #0,0
Perfect! It’s raining right after I washed my car. #304,1
Love it when my computer crashes before I save my work. #249,1
Fantastic! My phone just died during the most important call. #123,1
Nothing like spilling coffee all over your shirt to start the day right. #284,1
Peaceful walk in the park today. #185,0
Loving the weather today. #334,0
Perfect! It’s raining right after I washed my car. #182,1
Had a great workout this morning! #241,0
Loving the weather today. #336,0
Perfect! It’s raining right after I washed my car. #33,1
Fantastic! My phone just died during the most important call. #340,1
"Sure, I'd love to work overtime for free. #159",1
"Just finished a good book, highly recommend it! #300",0
"Just finished a good book, highly recommend it! #86",0
Yay! Another meeting that could have been an email. #88,1
Loving the weather today. #306,0
Work went really well today. #244,0
"Oh great, another Monday. Just what I needed. #25",1
Had a great workout this morning! #103,0
"Oh great, another Monday. Just what I needed. #339",1
Excited for the weekend trip! #16,0
Fantastic! My phone just died during the most important call. #145,1
Enjoyed dinner with the family. #68,0
I just adore being put on hold for 30 minutes. #64,1
"Oh great, another Monday. Just what I needed. #100",1
Had a productive study session. #305,0
Enjoyed dinner with the family. #270,0
Enjoyed dinner with the family. #83,0
Grateful for my supportive friends. #34,0
Had a productive study session. #223,0
Absolutely thrilled that my vacation got canceled. #290,1
Had a great workout this morning! #136,0
Watched a great movie tonight. #51,0
Absolutely thrilled that my vacation got canceled. #114,1
Watched a great movie tonight. #167,0
Peaceful walk in the park today. #301,0
Absolutely thrilled that my vacation got canceled. #102,1
Peaceful walk in the park today. #174,0
Fantastic! My phone just died during the most important call. #336,1
I just adore being put on hold for 30 minutes. #127,1
Had a great workout this morning! #348,0
Perfect! It’s raining right after I washed my car. #187,1
Watched a great movie tonight. #226,0
Fantastic! My phone just died during the most important call. #20,1
Loving the weather today. #82,0
"Wow, because waiting in traffic for hours is my favorite pastime. #117",1
I just adore being put on hold for 30 minutes. #265,1
"Wow, because waiting in traffic for hours is my favorite pastime. #330",1
Absolutely thrilled that my vacation got canceled. #148,1
Nothing like spilling coffee all over your shirt to start the day right. #129,1
Fantastic! My phone just died during the most important call. #60,1
Love it when my computer crashes before I save my work. #74,1
Fantastic! My phone just died during the most important call. #69,1
Had a great workout this morning! #54,0
I just adore being put on hold for 30 minutes. #189,1
Absolutely thrilled that my vacation got canceled. #76,1
I just adore being put on hold for 30 minutes. #157,1
Yay! Another meeting that could have been an email. #80,1
"Wow, because waiting in traffic for hours is my favorite pastime. #184",1
Perfect! It’s raining right after I washed my car. #251,1
Nothing like spilling coffee all over your shirt to start the day right. #279,1
Fantastic! My phone just died during the most important call. #169,1
"Sure, I'd love to work overtime for free. #55",1
Nothing like spilling coffee all over your shirt to start the day right. #71,1
Had a great workout this morning! #87,0
Had a great workout this morning! #276,0
"Wow, because waiting in traffic for hours is my favorite pastime. #282",1
Watched a great movie tonight. #321,0
I just adore being put on hold for 30 minutes. #67,1
Had a great workout this morning! #158,0
Work went really well today. #169,0
Excited for the weekend trip! #99,0
"Wow, because waiting in traffic for hours is my favorite pastime. #46",1
"Wow, because waiting in traffic for hours is my favorite pastime. #291",1
Yay! Another meeting that could have been an email. #164,1
Work went really well today. #265,0
Had a great workout this morning! #256,0
Peaceful walk in the park today. #274,0
Absolutely thrilled that my vacation got canceled. #194,1
Loving the weather today. #163,0
Loving the weather today. #74,0
Fantastic! My phone just died during the most important call. #121,1
Absolutely thrilled that my vacation got canceled. #179,1
Watched a great movie tonight. #64,0
"Sure, I'd love to work overtime for free. #317",1
Grateful for my supportive friends. #164,0
Watched a great movie tonight. #212,0
"Oh great, another Monday. Just what I needed. #138",1
"Just finished a good book, highly recommend it! #250",0
Love it when my computer crashes before I save my work. #116,1
Absolutely thrilled that my vacation got canceled. #241,1
Excited for the weekend trip! #235,0
Had a great workout this morning! #214,0
"Wow, because waiting in traffic for hours is my favorite pastime. #208",1
"Oh great, another Monday. Just what I needed. #29",1
"Sure, I'd love to work overtime for free. #272",1
"Just finished a good book, highly recommend it! #91",0
"Oh great, another Monday. Just what I needed. #151",1
Perfect! It’s raining right after I washed my car. #21,1
"Sure, I'd love to work overtime for free. #331",1
Excited for the weekend trip! #299,0
"Oh great, another Monday. Just what I needed. #232",1
"Just finished a good book, highly recommend it! #333",0
Watched a great movie tonight. #42,0
Grateful for my supportive friends. #291,0
Had a productive study session. #66,0
Watched a great movie tonight. #292,0
Nothing like spilling coffee all over your shirt to start the day right. #136,1
"Wow, because waiting in traffic for hours is my favorite pastime. #115",1
Work went really well today. #175,0
Love it when my computer crashes before I save my work. #271,1
Had a productive study session. #340,0
Absolutely thrilled that my vacation got canceled. #18,1
Nothing like spilling coffee all over your shirt to start the day right. #142,1
"Just finished a good book, highly recommend it! #245",0
Absolutely thrilled that my vacation got canceled. #227,1
Enjoyed dinner with the family. #293,0
Peaceful walk in the park today. #216,0
Nothing like spilling coffee all over your shirt to start the day right. #41,1
"Just finished a good book, highly recommend it! #316",0
Enjoyed dinner with the family. #260,0
"Sure, I'd love to work overtime for free. #132",1
Enjoyed dinner with the family. #85,0
"Sure, I'd love to work overtime for free. #95",1
Love it when my computer crashes before I save my work. #321,1
I just adore being put on hold for 30 minutes. #31,1
Nothing like spilling coffee all over your shirt to start the day right. #248,1
Had a great workout this morning! #129,0
Had a great workout this morning! #137,0
Yay! Another meeting that could have been an email. #230,1
Yay! Another meeting that could have been an email. #126,1
Had a great workout this morning! #307,0
Grateful for my supportive friends. #286,0
"Just finished a good book, highly recommend it! #4",0
Excited for the weekend trip! #298,0
Had a productive study session. #183,0
Excited for the weekend trip! #188,0
Peaceful walk in the park today. #254,0
Loving the weather today. #22,0
Had a great workout this morning! #198,0
Excited for the weekend trip! #279,0
Enjoyed dinner with the family. #11,0
Work went really well today. #201,0
Loving the weather today. #65,0
Watched a great movie tonight. #23,0
Yay! Another meeting that could have been an email. #210,1
I just adore being put on hold for 30 minutes. #63,1
"Oh great, another Monday. Just what I needed. #316",1
Excited for the weekend trip! #127,0
